"title_year","currency","movie_title"
"2008","USA","thetaleofdespereaux"
NA,"USA","rulesofengagement"
"2002","USA","thetuxedo"
"1995","USA","undersiege2darkterritory"
"2014","USA","jackryanshadowrecruit"
"2015","USA","joy"
"2016","USA","londonhasfallen"
"1997","USA","alienresurrection"
"2007","USA","shooter"
"2014","USA","theboxtrolls"
"1998","USA","practicalmagic"
"2014","USA","thelegomovie"
"2005","USA","misscongeniality2armedandfabulous"
"2002","USA","reignoffire"
"2013","USA","gangstersquad"
"2009","USA","yearone"
"2009","USA","invictus"
"2009","USA","stateofplay"
"2009","USA","duplicity"
"1999","USA","myfavoritemartian"
"2006","USA","thesentinel"
"2009","USA","planet51"
"2002","USA","startreknemesis"
"2003","USA","intolerablecruelty"
"2012","USA","troublewiththecurve"
"2010","USA","edgeofdarkness"
"1997","USA","therelic"
"2002","USA","analyzethat"
"2008","USA","righteouskill"
"1998","USA","mercuryrising"
"2009","USA","thesoloist"
"2000","USA","thelegendofbaggervance"
"2000","USA","almostfamous"
"2006","USA","garfield2"
"2005","USA","xxxstateoftheunion"
"2011","USA","priest"
"2003","USA","sinbadlegendofthesevenseas"
"1997","USA","eventhorizon"
"2002","USA","dragonfly"
"2006","USA","theblackdahlia"
"2006","USA","flyboys"
"2001","USA","thelastcastle"
"2000","USA","supernova"
"2014","USA","winterstale"
"2013","USA","themortalinstrumentscityofbones"
"2008","USA","meetdave"
"2005","USA","darkwater"
"1999","USA","edtv"
"2008","USA","inkheart"
"2008","USA","thespirit"
"2015","USA","mortdecai"
"2007","USA","inthenameofthekingadungeonsiegetale"
"2003","USA","beyondborders"
"2016","USA","xiyoujizhisunwukongsandabaigujing"
"2005","USA","thegreatraid"
"2016","USA","deadpool"
"1998","USA","holyman"
"2014","USA","americansniper"
"2015","USA","goosebumps"
NA,"USA","sabrinatheteenagewitch"
"2005","USA","justlikeheaven"
"2000","USA","theflintstonesinvivarockvegas"
"1988","USA","ramboiii"
"2008","USA","leatherheads"
"2015","USA","theridiculous6"
"2009","USA","didyouhearaboutthemorgans?"
"2013","USA","theinternship"
"2010","USA","residentevilafterlife"
"2012","USA","redtails"
NA,"USA","sexandthecity"
"1997","USA","thedevilsadvocate"
"2012","USA","thatsmyboy"
"1996","USA","dragonheart"
"2004","USA","afterthesunset"
"2011","USA","ghostriderspiritofvengeance"
"2001","USA","captaincorellismandolin"
NA,"USA","angermanagement"
"2005","USA","thepacifier"
"2004","USA","walkingtall"
"1994","USA","forrestgump"
"2007","USA","alvinandthechipmunks"
"2000","USA","meettheparents"
"1995","USA","pocahontas"
"1978","USA","superman"
"1996","USA","thenuttyprofessor"
"2005","USA","hitch"
"1997","USA","georgeofthejungle"
"2003","USA","americanwedding"
"2013","USA","captainphillips"
"2010","USA","datenight"
"1995","USA","casper"
"2014","USA","theequalizer"
"2002","USA","maidinmanhattan"
"1995","USA","crimsontide"
"2006","USA","thepursuitofhappyness"
"2005","USA","flightplan"
"1994","USA","disclosure"
"1998","USA","cityofangels"
"2003","USA","killbillvol1"
"1999","USA","bowfinger"
NA,"USA","stargatesg1"
"2004","USA","killbillvol2"
"1989","USA","tango&cash"
"1992","USA","deathbecomesher"
"2000","USA","shanghainoon"
"1996","USA","executivedecision"
"2011","USA","mrpopperspenguins"
"2008","USA","theforbiddenkingdom"
"2013","USA","freebirds"
"1992","USA","alien3"
"1996","USA","evita"
"1998","USA","ronin"
"1996","USA","theghostandthedarkness"
"2014","USA","paddington"
"2012","USA","thewatch"
"2003","USA","thehunted"
"1999","USA","instinct"
"2003","USA","stuckonyou"
"2008","USA","semipro"
"2012","USA","thepirates!bandofmisfits"
"2008","USA","changeling"
"1996","USA","chainreaction"
