title_year,budget,movie_title,gross
2005,85000000,'Memoirs of a Geisha',57010853
2001,85000000,'Enemy at the Gates',51396781
1993,85000000,'Last Action Hero',50016394
2003,85000000,'The Rundown',47641743
2011,85000000,'Arthur Christmas',46462469
2010,85000000,'Cats & Dogs: The Revenge of Kitty Galore',45539292
1998,85000000,'Meet Joe Black',44650003
2002,85000000,'Collateral Damage',40048332
2002,85000000,'Showtime',37948765
1995,85000000,'Judge Dredd',34687912
2007,85000000,'Zodiac',33080084
2010,85000000,'Scott Pilgrim vs. The World',31611316
2003,85000000,'The Core',31111260
1997,85000000,'Father's Day',28681080
2002,84000000,'Scooby-Doo',153294164
2000,84000000,'Nutty Professor II: The Klumps',123307945
2013,84000000,'RED 2',53262560
2006,82500000,'Click',137355633
2006,82500000,'Charlotte's We',82985708
2008,82500000,'Jumper',81168265
2008,82500000,'Hellboy II: The Golden Army',75986503
2005,82000000,'The Longest Yard',158119460
2010,82000000,'The Expendables',103068524
2000,82000000,'The 6th Day',34543701
2003,81000000,'Bruce Almighty',242704995
2012,80000000,'The Hunger Games',408010692
2011,80000000,'The Hangover Part II',254464305
1996,80000000,'Mission: Impossible',180981886
2015,80000000,'Hotel Transylvania 2',169700110
1992,80000000,'Batman Returns',162833635
1999,80000000,'The Mummy',155385488
2006,80000000,'Over the Hedge',155019340
2002,80000000,'Lilo & Stitch',145771527
1998,80000000,'Deep Impact',140464664
2013,80000000,'Grown Ups 2',133668525
2011,80000000,'Alvin and the Chipmunks: Chipwrecked',133107389
2008,80000000,'Get Smart',130319208
2005,80000000,'Robots',128200012
2010,80000000,'Shutter Island',128012934
2003,80000000,'Something's Gotta Give',124685242
2008,80000000,'Four Christmases',120146040
1997,80000000,'Face/Off',112276146
2008,80000000,'Bedtime Stories',110101975
2002,80000000,'Road to Perdition',104054514
2011,80000000,'Just Go With It',103028109
2003,80000000,'Daredevil',102543518
2008,80000000,'Eagle Eye',101440743
1997,80000000,'Con Air',101117573
2010,80000000,'Yogi Bear',100246011
2003,80000000,'Cold Mountain',95632614
2010,80000000,'The Book of Eli',94835059
1997,80000000,'Flubber',92993801
1999,80000000,'The Haunting',91188905
1996,80000000,'Space Jam',90463534
2014,80000000,'Fury',85755593
2006,80000000,'The Pink Panther',82226474
2011,80000000,'Zookeeper',80360866
2008,80000000,'The Day the Earth Stood Still',79366978
1997,80000000,'Conspiracy Theory',76118990
1998,80000000,'Six Days, Seven Nights'',74339294
2002,80000000,'Spirit: Stallion of the Cimarron',73215310
2001,80000000,'Swordfish',69772969
1998,80000000,'Lost In Space',69117629
2004,80000000,'The Manchurian Candidate',65948711
2006,80000000,'D\xc3\x83\xc2\xa9j\xc3\x83\xc2\xa0 Vu',64038616
2005,80000000,'Bewitched',63313159
2000,80000000,'Fantasia 2000 (IMAX)',60507228
2002,80000000,'The Time Machine',56684819
1998,80000000,'What Dreams May Come',55485043
1998,80000000,'Mighty Joe Young',50632037
2005,80000000,'The Legend of Zorro',45575336
2000,80000000,'Little Nicky',39442871
2009,80000000,'Surrogates',38577772
2001,80000000,'Evolution',38311134
2005,80000000,'The Brothers Grimm',37899638
1996,80000000,'Mars Attacks!',37771017
2006,80000000,'The Wild',37384046
2013,80000000,'Walking with Dinosaurs',36076121
2000,80000000,'Thirteen Days',34566746
1996,80000000,'Daylight',32908290
2015,80000000,'The Last Witch Hunter',27367660
2014,80000000,'Pompeii',23169033
2000,80000000,'Battlefield Earth: A Saga of the Year 3000',21471685
2003,80000000,'Looney Tunes: Back in Action',20950820
2009,80000000,'Nine',19676965
2003,80000000,'Timeline',19480739
2010,80000000,'Oceans',19422319
1998,80000000,'Babe: Pig in the City',18319860
1997,80000000,'The Postman',17650704
2000,80000000,'Red Planet',17480890
2006,80000000,'Arthur et les Minimoys',15132763
2007,80000000,'The Invasion',15074191
2000,80000000,'Fantasia 2000 (Theatrical Release)',9103630
2005,80000000,'A Sound of Thunder',1900451
2015,80000000,'Don Gato, el inicio de la pandilla'',0
1994,79300000,'The Lion King',422780140
2012,79000000,'Journey 2: The Mysterious Island',103860290
2011,79000000,'Jack and Jill',74158157
2001,78000000,'A Beautiful Mind',170708996
2013,78000000,'Cloudy with a Chance of Meatballs 2',119793567
2002,78000000,'Red Dragon',92955420
2004,78000000,'Hidalgo',67286731
2003,78000000,'The League of Extraordinary Gentlemen',66465204
2004,78000000,'Exorcist: The Beginning',41814863
2012,77600000,'Ast\xc3\x83\xc2\xa9rix et Ob\xc3\x83\xc2\xa9lix: Au service de Sa Majest\xc3\x83\xc2\xa9 ',0
2016,77500000,'The Little Prince',1311213
2013,76000000,'Despicable Me 2',368065385
2003,76000000,'2 Fast 2 Furious',127120058
2006,76000000,'Children of Men',35552383
2000,76000000,'The Adventures of Rocky & Bullwinkle',26000610
2016,75000000,'The Secret Life of Pets',323505540
1996,75000000,'Independence Day',306169255
1997,75000000,'The Lost World: Jurassic Park',229086679
2006,75000000,'Ice Age: The Meltdown',195330621
2005,75000000,'Madagascar',193595521
2010,75000000,'Grown Ups',162001186
2004,75000000,'Shark Tale',161412000
2000,75000000,'X-Men',157299717
2008,75000000,'Wanted',134508551
1996,75000000,'The Rock',134069511
2004,75000000,'50 First Dates',120776832
2007,75000000,'Hairspray',118871849
2013,75000000,'Now You See Me',117723989
2006,75000000,'Dreamgirls',103365956
1999,75000000,'Inspector Gadget',97387965
2011,75000000,'Immortals',83504017
2004,75000000,'The Terminal',77073959
2005,75000000,'Constantine',75976178
2006,75000000,'Monster House',73661010
2009,75000000,'Hotel for Dogs',73034460
2000,75000000,'Vertical Limit',68473360
2007,75000000,'Charlie Wilson's War',66661095
1999,75000000,'Life',64062587
2005,75000000,'Be Cool',55849401
2005,75000000,'Munich',47379090
2010,75000000,'Killers',47059963
2015,75000000,'The Man From U.N.C.L.E.',45445109
2003,75000000,'Tears of the Sun',43632458
2006,75000000,'Lady in the Water',42285169
2004,75000000,'Spanglish',42044321
2001,75000000,'Bandits',41523271
1999,75000000,'Anna and the King',39251128
1995,75000000,'First Knight',37361412
2011,75000000,'Sucker Punch',36392502
2005,75000000,'Hostage',34636443
2003,75000000,'Hollywood Homicide',30207785
2000,75000000,'Titan A.E.',22751979
2004,75000000,'Flight of the Phoenix',21009180
1998,75000000,'Soldier',14623082
1999,75000000,'Virus',14010690
2001,75000000,'Monkeybone',5409517
2015,74000000,'Minions',336045770
2015,74000000,'The SpongeBob Movie: Sponge Out of Water',162994032
2000,73243106,'Unbreakable',94999143
2006,73000000,'Talladega Nights: The Ballad of Ricky Bobby',148213377
2016,73000000,'The Angry Birds Movie',107225164
1998,73000000,'Snake Eyes',55591409
1998,73000000,'Sphere',37068294
2007,72500000,'The Simpsons Movie',183135014
2008,72500000,'Fool's Gold',70231041
2009,72500000,'Funny People',51855045
2007,72500000,'The Kingdom',47467250
2001,72000000,'Doctor Dolittle 2',112950721
1995,72000000,'Braveheart',75545647
2005,72000000,'Jarhead',62647540
2001,72000000,'Driven',32616869
2001,72000000,'The Majestic',27796042
2004,72000000,'Two Brothers',19176754
2004,71682975,'The Village',114197520
1998,71500000,'Doctor Dolittle',144156605
2002,70702619,'Signs',227965690
2004,70000000,'Shrek 2',441226247
2006,70000000,'Cars',244082982
2009,70000000,'Alvin and the Chipmunks: The Squeakquel',219614612
1988,70000000,'Who Framed Roger Rabbit?',154112492
1999,70000000,'Runaway Bride',152257509
2002,70000000,'xXx',141930000
1996,70000000,'Ransom',136492681
2009,70000000,'Inglourious Basterds',120774594
1991,70000000,'Hook',119654823
1990,70000000,'Die Hard 2',117323878
2003,70000000,'S.W.A.T.',116877597
1999,70000000,'Sleepy Hollow',101068340
2001,70000000,'Vanilla Sky',100614858
1997,70000000,'Hercules',99112101
2013,70000000,'Olympus Has Fallen',98927592
2011,70000000,'Battle: Los Angeles',83552429
2004,70000000,'AVP: Alien Vs. Predator',80281096
2011,70000000,'War Horse',79883359
2002,70000000,'We Were Soldiers',78120196
2014,70000000,'The Monuments Men',78031620
1998,70000000,'Star Trek: Insurrection',70187658
2003,70000000,'Big Fish',66432867
1994,70000000,'Wolf',65011757
2012,70000000,'Underworld: Awakening',62321039
2014,70000000,'Dracula Untold',55991880
1989,70000000,'The Abyss',54243125
2010,70000000,'Wall Street 2: Money Never Sleeps',52474616
2011,70000000,'The Dilemma',48475290
2005,70000000,'Rumor Has It',42996140
1998,70000000,'The Siege',40934175
2007,70000000,'Stardust',38634938
2012,70000000,'Rock of Ages',38518613
1997,70000000,'Seven Years in Tibet',37945884
2004,70000000,'Sky Captain and the World of Tomorrow',37760080
2002,70000000,'I Spy',33561137
2002,70000000,'Bad Company',30157016
2005,70000000,'Doom',28212337
2016,70000000,'The Finest Hours',27569558
2013,70000000,'Escape Plan',25135965
2011,70000000,'Killer Elite',25124986
1998,70000000,'Hard Rain',19870567
